Région,Province,Année,Surface (1000 Ha),Production (1000 Qx),Rendement (Qx/Ha),Latitude,Longitude,Pluie_Saisonniere_mm,NDVI_01,NDVI_03,NDVI_05,NDVI_Moyen,Point_ID
Fès-Meknès,Fès,2022,11.1,137.2,12.36,33.97966672,-5.037722699,359.67,0.316,0.4264,0.1875,0.309966667,Fès_2022_Pt9
Fès-Meknès,Fès,2021,11,374.5,34.05,34.08305619,-4.9425789,640.86,0.4084,0.5052,0.2189,0.3775,Fès_2021_Pt0
Fès-Meknès,Fès,2021,11,374.5,34.05,33.98114686,-4.961534059,640.86,0.7824,0.8385,0.2856,0.6355,Fès_2021_Pt1
Fès-Meknès,Fès,2021,11,374.5,34.05,34.05700521,-5.045044693,640.86,0.2737,0.3195,0.3428,0.312,Fès_2021_Pt2
Fès-Meknès,Fès,2021,11,374.5,34.05,34.04520321,-4.945397456,640.86,0.5244,0.6011,0.3115,0.479,Fès_2021_Pt3
Fès-Meknès,Fès,2021,11,374.5,34.05,34.07711865,-5.019181516,640.86,0.3272,0.6142,0.2179,0.386433333,Fès_2021_Pt4
Fès-Meknès,Fès,2021,11,374.5,34.05,33.97592536,-4.940251002,640.86,0.485,0.5249,0.2728,0.427566667,Fès_2021_Pt5
Fès-Meknès,Fès,2021,11,374.5,34.05,34.09160696,-4.99184473,640.86,0.2698,0.669,0.2534,0.3974,Fès_2021_Pt6
Fès-Meknès,Fès,2021,11,374.5,34.05,34.04520055,-5.021172228,640.86,0.3881,0.4863,0.1751,0.349833333,Fès_2021_Pt7
Fès-Meknès,Fès,2021,11,374.5,34.05,33.99131903,-4.955563935,640.86,0.7117,0.7545,0.3369,0.601033333,Fès_2021_Pt8
Fès-Meknès,Fès,2021,11,374.5,34.05,34.08929834,-4.973789448,640.86,0.3986,0.6477,0.2973,0.447866667,Fès_2021_Pt9
Fès-Meknès,Fès,2019,81.7,1617,19.79,34.064224,-5.024498806,672.39,0.5527,0.4226,0.3533,0.442866667,Fès_2019_Pt0
Fès-Meknès,Fès,2019,81.7,1617,19.79,34.09146629,-5.029393741,672.39,0.5369,0.6517,0.2448,0.4778,Fès_2019_Pt1
Fès-Meknès,Fès,2019,81.7,1617,19.79,34.04285794,-5.040038667,672.39,0.388,0.3312,0.3381,0.352433333,Fès_2019_Pt2
Fès-Meknès,Fès,2019,81.7,1617,19.79,34.05052434,-4.980510075,672.39,0.4905,0.7111,0.4712,0.5576,Fès_2019_Pt3
Fès-Meknès,Fès,2019,81.7,1617,19.79,34.04050253,-5.043017604,672.39,0.3914,0.357,0.2444,0.330933333,Fès_2019_Pt4
Fès-Meknès,Fès,2019,81.7,1617,19.79,34.00511669,-4.970284702,672.39,0.3066,0.3021,0.2013,0.27,Fès_2019_Pt5
Fès-Meknès,Fès,2019,81.7,1617,19.79,33.98981101,-5.027360366,672.39,0.3993,0.4231,0.3462,0.389533333,Fès_2019_Pt6
Fès-Meknès,Fès,2019,81.7,1617,19.79,34.03248487,-5.049710392,672.39,0.0841,0.4008,0.1838,0.2229,Fès_2019_Pt7
Fès-Meknès,Fès,2019,81.7,1617,19.79,33.98996661,-5.028361254,672.39,0.4033,0.4645,0.2924,0.386733333,Fès_2019_Pt8
Fès-Meknès,Fès,2019,81.7,1617,19.79,34.03679779,-4.954052091,672.39,0.2476,0.6597,0.2152,0.374166667,Fès_2019_Pt9
Fès-Meknès,Fès,2017,24.9,710,28.51,34.00649423,-4.952173539,581.33,0.2,0.6358,0.1448,0.326866667,Fès_2017_Pt0
Fès-Meknès,Fès,2017,24.9,710,28.51,33.98633465,-5.002265722,581.33,0.2,0.4241,0.0787,0.234266667,Fès_2017_Pt1
Fès-Meknès,Fès,2017,24.9,710,28.51,34.0399617,-4.958019067,581.33,0.2,0.5571,0.1064,0.287833333,Fès_2017_Pt2
Fès-Meknès,Fès,2017,24.9,710,28.51,33.98002542,-5.003447995,581.33,0.2,0.412,0.1444,0.252133333,Fès_2017_Pt3
Fès-Meknès,Fès,2017,24.9,710,28.51,34.04157725,-4.947330241,581.33,0.2,0.7883,0.1206,0.369633333,Fès_2017_Pt4
Fès-Meknès,Fès,2017,24.9,710,28.51,34.09014803,-5.034662796,581.33,0.2,0.8888,0.233,0.4406,Fès_2017_Pt5
Fès-Meknès,Fès,2017,24.9,710,28.51,34.06989401,-4.939483219,581.33,0.2,0.7233,0.2246,0.382633333,Fès_2017_Pt6
Fès-Meknès,Fès,2017,24.9,710,28.51,34.03533421,-5.033388779,581.33,0.2,0.6848,0.3646,0.416466667,Fès_2017_Pt7
Fès-Meknès,Fès,2017,24.9,710,28.51,33.98978784,-5.000768869,581.33,0.2,0.3493,0.1814,0.243566667,Fès_2017_Pt8
Fès-Meknès,Fès,2017,24.9,710,28.51,34.08249155,-5.022975161,581.33,0.2,0.7702,0.1527,0.3743,Fès_2017_Pt9
Fès-Meknès,Fès,2016,92.5,536.5,5.8,34.04801142,-4.942506054,453.96,0.2,0.3389,0.2686,0.269166667,Fès_2016_Pt0
Fès-Meknès,Fès,2016,92.5,536.5,5.8,33.99689038,-4.964266398,453.96,0.2,0.3587,0.2493,0.269333333,Fès_2016_Pt1
Fès-Meknès,Fès,2016,92.5,536.5,5.8,34.06123883,-5.056000427,453.96,0.2,0.4576,0.3681,0.3419,Fès_2016_Pt2
Fès-Meknès,Fès,2016,92.5,536.5,5.8,34.08595098,-5.010148991,453.96,0.2,0.3072,0.3571,0.2881,Fès_2016_Pt3
Fès-Meknès,Fès,2016,92.5,536.5,5.8,34.0848205,-4.961154963,453.96,0.2,0.332,0.2717,0.2679,Fès_2016_Pt4
Fès-Meknès,Fès,2016,92.5,536.5,5.8,34.04467778,-4.974416639,453.96,0.2,0.4049,0.3063,0.303733333,Fès_2016_Pt5
Fès-Meknès,Fès,2016,92.5,536.5,5.8,34.07390215,-4.987689576,453.96,0.2,0.5047,0.2913,0.332,Fès_2016_Pt6
Fès-Meknès,Fès,2016,92.5,536.5,5.8,34.06568749,-4.96033246,453.96,0.2,0.332,0.2367,0.256233333,Fès_2016_Pt7
Fès-Meknès,Fès,2016,92.5,536.5,5.8,34.07034739,-4.97617487,453.96,0.2,0.3579,0.2736,0.277166667,Fès_2016_Pt8
Fès-Meknès,Fès,2016,92.5,536.5,5.8,34.09195667,-5.009141428,453.96,0.2,0.3808,0.3732,0.318,Fès_2016_Pt9
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.57668994,-5.134354565,400.61,0.6861,0.8619,0.2967,0.6149,Ifrane_2023_Pt0
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.49057604,-5.115060022,400.61,0.6961,0.5368,0.432,0.554966667,Ifrane_2023_Pt1
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.52366314,-5.100018583,400.61,0.5002,0.541,0.7694,0.603533333,Ifrane_2023_Pt2
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.48341421,-5.104435785,400.61,0.5335,0.3053,0.1993,0.346033333,Ifrane_2023_Pt3
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.55916053,-5.119741334,400.61,0.7096,0.6698,0.6325,0.670633333,Ifrane_2023_Pt4
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.5688729,-5.075165504,400.61,0.4766,0.4468,0.3449,0.422766667,Ifrane_2023_Pt5
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.54895792,-5.13370219,400.61,0.3735,0.4493,0.22,0.3476,Ifrane_2023_Pt6
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.56900352,-5.120044362,400.61,0.6892,0.6453,0.5718,0.635433333,Ifrane_2023_Pt7
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.47643909,-5.162629427,400.61,0.6994,0.7032,0.2776,0.560066667,Ifrane_2023_Pt8
Fès-Meknès,Ifrane,2023,35,565.4,16.15,33.49136454,-5.148365206,400.61,0.532,0.5732,0.3314,0.478866667,Ifrane_2023_Pt9
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.47699579,-5.12865962,355.72,0.826,0.6652,0.6288,0.706666667,Ifrane_2022_Pt0
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.566639,-5.06368209,355.72,0.524,0.4332,0.4584,0.471866667,Ifrane_2022_Pt1
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.4843002,-5.083905026,355.72,0.3528,0.3367,0.3046,0.331366667,Ifrane_2022_Pt2
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.56197259,-5.123740026,355.72,0.772,0.5741,0.6729,0.673,Ifrane_2022_Pt3
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.50871304,-5.125981514,355.72,0.503,0.4074,0.361,0.4238,Ifrane_2022_Pt4
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.47784273,-5.121407025,355.72,0.7793,0.6188,0.6321,0.676733333,Ifrane_2022_Pt5
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.5261927,-5.12196558,355.72,0.3113,0.3183,0.4867,0.3721,Ifrane_2022_Pt6
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.55386686,-5.163651978,355.72,0.317,0.4478,0.3526,0.372466667,Ifrane_2022_Pt7
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.47955835,-5.115090705,355.72,0.4446,0.3609,0.3556,0.387033333,Ifrane_2022_Pt8
Fès-Meknès,Ifrane,2022,69.5,903.8,13,33.55883419,-5.119679508,355.72,0.86,0.7473,0.6826,0.7633,Ifrane_2022_Pt9
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.56262625,-5.122586532,686.3,0.7265,0.6879,0.6891,0.701166667,Ifrane_2021_Pt0
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.53658943,-5.066835896,686.3,0.6075,0.5649,0.4179,0.5301,Ifrane_2021_Pt1
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.52083156,-5.073572822,686.3,0.6293,0.5704,0.4468,0.548833333,Ifrane_2021_Pt2
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.47824913,-5.156532774,686.3,0.5962,0.6099,0.5556,0.587233333,Ifrane_2021_Pt3
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.58482685,-5.09624518,686.3,0.3145,0.3869,0.3388,0.346733333,Ifrane_2021_Pt4
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.51915725,-5.099177278,686.3,0.8158,0.7682,0.4595,0.681166667,Ifrane_2021_Pt5
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.49398601,-5.125769223,686.3,0.6867,0.6133,0.7468,0.682266667,Ifrane_2021_Pt6
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.49982486,-5.126492338,686.3,0.8277,0.758,0.7374,0.774366667,Ifrane_2021_Pt7
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.55445865,-5.064591321,686.3,0.755,0.6885,0.6223,0.6886,Ifrane_2021_Pt8
Fès-Meknès,Ifrane,2021,35.2,965.4,27.43,33.47588146,-5.058516449,686.3,0.4619,0.483,0.3244,0.4231,Ifrane_2021_Pt9
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.55197678,-5.134782721,661.96,0.3143,0.4291,0.5055,0.4163,Ifrane_2020_Pt0
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.55390572,-5.130247788,661.96,0.5964,0.539,0.4012,0.5122,Ifrane_2020_Pt1
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.52432292,-5.161277116,661.96,0.2011,0.4878,0.5536,0.414166667,Ifrane_2020_Pt2
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.53419521,-5.133535456,661.96,0.636,0.6891,0.6782,0.667766667,Ifrane_2020_Pt3
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.56822311,-5.056689697,661.96,0.7239,0.687,0.6402,0.6837,Ifrane_2020_Pt4
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.54636137,-5.124325032,661.96,0.3646,0.3839,0.1742,0.307566667,Ifrane_2020_Pt5
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.46511212,-5.117468875,661.96,0.7425,0.6954,0.6699,0.7026,Ifrane_2020_Pt6
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.47326686,-5.064415914,661.96,0.3422,0.3079,0.3623,0.337466667,Ifrane_2020_Pt7
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.50579441,-5.137908638,661.96,0.0897,0.3629,0.4174,0.29,Ifrane_2020_Pt8
Fès-Meknès,Ifrane,2020,31.6,527.6,16.7,33.55356102,-5.122002203,661.96,0.703,0.7795,0.2175,0.566666667,Ifrane_2020_Pt9
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.52593099,-5.157839976,684.51,0.4793,0.405,0.6331,0.5058,Ifrane_2019_Pt0
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.5387788,-5.135055565,684.51,0.3952,0.4031,0.6089,0.469066667,Ifrane_2019_Pt1
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.4690132,-5.101253588,684.51,0.3698,0.3342,0.4293,0.377766667,Ifrane_2019_Pt2
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.55778719,-5.056039881,684.51,0.5703,0.4234,0.4278,0.473833333,Ifrane_2019_Pt3
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.58298494,-5.149413478,684.51,0.2982,0.4647,0.5647,0.442533333,Ifrane_2019_Pt4
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.49797908,-5.143129472,684.51,0.8727,0.5192,0.6616,0.6845,Ifrane_2019_Pt5
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.55978876,-5.058634028,684.51,0.6544,0.472,0.5236,0.55,Ifrane_2019_Pt6
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.52601272,-5.068506707,684.51,0.8802,0.5729,0.6391,0.6974,Ifrane_2019_Pt7
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.57231153,-5.14383992,684.51,0.3368,0.3883,0.4918,0.405633333,Ifrane_2019_Pt8
Fès-Meknès,Ifrane,2019,42.5,855.2,20.12,33.56106177,-5.055988505,684.51,0.8213,0.6242,0.7264,0.723966667,Ifrane_2019_Pt9
Fès-Meknès,Ifrane,2017,51.1,1304.4,25.53,33.46962499,-5.1084327,565.43,0.2,0.5326,0.6364,0.456333333,Ifrane_2017_Pt0
Fès-Meknès,Ifrane,2017,51.1,1304.4,25.53,33.49810277,-5.084108994,565.43,0.2,0.4248,0.5693,0.398033333,Ifrane_2017_Pt1
Fès-Meknès,Ifrane,2017,51.1,1304.4,25.53,33.48667993,-5.116175772,565.43,0.2,0.3268,0.6409,0.389233333,Ifrane_2017_Pt2
Fès-Meknès,Ifrane,2017,51.1,1304.4,25.53,33.55849718,-5.12780717,565.43,0.2,0.4441,0.555,0.3997,Ifrane_2017_Pt3
Fès-Meknès,Ifrane,2017,51.1,1304.4,25.53,33.50570745,-5.118528439,565.43,0.2,0.3236,0.7263,0.416633333,Ifrane_2017_Pt4
Fès-Meknès,Ifrane,2017,51.1,1304.4,25.53,33.56187045,-5.122125317,565.43,0.2,0.4343,0.6442,0.426166667,Ifrane_2017_Pt5
Fès-Meknès,Ifrane,2017,51.1,1304.4,25.53,33.52285512,-5.057531401,565.43,0.2,0.3111,0.5787,0.363266667,Ifrane_2017_Pt6
Fès-Meknès,Ifrane,2016,49.9,1028,20.6,33.55593765,-5.161908184,476.68,0.2,0.3636,0.357,0.306866667,Ifrane_2016_Pt0
Fès-Meknès,Ifrane,2016,49.9,1028,20.6,33.55065941,-5.087014422,476.68,0.2,0.3134,0.3097,0.274366667,Ifrane_2016_Pt1
Fès-Meknès,Ifrane,2016,49.9,1028,20.6,33.5347673,-5.06581001,476.68,0.2,0.3622,0.543,0.3684,Ifrane_2016_Pt2
Fès-Meknès,Ifrane,2016,49.9,1028,20.6,33.53731195,-5.060095912,476.68,0.2,0.3041,0.4813,0.328466667,Ifrane_2016_Pt3
Fès-Meknès,Ifrane,2016,49.9,1028,20.6,33.49970969,-5.130616733,476.68,0.2,0.59,0.5261,0.4387,Ifrane_2016_Pt4
Fès-Meknès,Ifrane,2016,49.9,1028,20.6,33.5401361,-5.084604156,476.68,0.2,0.4681,0.4986,0.3889,Ifrane_2016_Pt5
Fès-Meknès,Ifrane,2016,49.9,1028,20.6,33.54023779,-5.100218191,476.68,0.2,0.5315,0.623,0.4515,Ifrane_2016_Pt6
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.92579174,-5.525286738,354.42,0.0948,0.5544,0.2009,0.283366667,Meknès_2023_Pt0
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.86541697,-5.519963208,354.42,0.3594,0.4083,0.2647,0.344133333,Meknès_2023_Pt1
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.88570683,-5.594400868,354.42,0.3616,0.3283,0.2007,0.296866667,Meknès_2023_Pt2
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.85345414,-5.492889332,354.42,0.3016,0.5475,0.2845,0.377866667,Meknès_2023_Pt3
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.89700485,-5.601756062,354.42,0.4169,0.5169,0.3108,0.414866667,Meknès_2023_Pt4
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.92639959,-5.583745791,354.42,0.7589,0.7559,0.765,0.759933333,Meknès_2023_Pt5
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.83708527,-5.560559959,354.42,0.1559,0.6693,0.0965,0.307233333,Meknès_2023_Pt6
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.84621452,-5.503132737,354.42,0.6796,0.3598,0.5059,0.5151,Meknès_2023_Pt7
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.83732937,-5.497987557,354.42,0.5967,0.7548,0.2217,0.5244,Meknès_2023_Pt8
Fès-Meknès,Meknès,2023,63.5,2072.5,32.64,33.95478872,-5.563617954,354.42,0.5761,0.5139,0.0879,0.392633333,Meknès_2023_Pt9
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.83976247,-5.546566769,309.56,0.7973,0.8096,0.2083,0.605066667,Meknès_2022_Pt0
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.94286234,-5.57651309,309.56,0.5517,0.7481,0.4397,0.579833333,Meknès_2022_Pt1
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.95010122,-5.535906574,309.56,0.1995,0.3235,0.2574,0.260133333,Meknès_2022_Pt2
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.94774979,-5.606956504,309.56,0.534,0.506,0.4171,0.4857,Meknès_2022_Pt3
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.88909416,-5.590510127,309.56,0.6689,0.7716,0.5061,0.648866667,Meknès_2022_Pt4
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.9100833,-5.585136817,309.56,0.653,0.6714,0.8352,0.719866667,Meknès_2022_Pt5
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.94149066,-5.504372089,309.56,0.5616,0.6127,0.2589,0.477733333,Meknès_2022_Pt6
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.88692367,-5.515744726,309.56,0.3122,0.4296,0.3128,0.351533333,Meknès_2022_Pt7
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.87289211,-5.596614391,309.56,0.2963,0.3964,0.1543,0.282333333,Meknès_2022_Pt8
Fès-Meknès,Meknès,2022,64.1,1067.3,16.65,33.94094407,-5.606800434,309.56,0.3416,0.4009,0.2594,0.333966667,Meknès_2022_Pt9
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.93132895,-5.585177029,596.4,0.6056,0.6808,0.7407,0.6757,Meknès_2021_Pt0
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.90116004,-5.506827034,596.4,0.4015,0.4099,0.4153,0.4089,Meknès_2021_Pt1
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.91255103,-5.602299882,596.4,0.8117,0.6733,0.2577,0.5809,Meknès_2021_Pt2
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.86921245,-5.502016448,596.4,0.5987,0.5631,0.3568,0.5062,Meknès_2021_Pt3
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.88146044,-5.58256364,596.4,0.2537,0.4666,0.374,0.364766667,Meknès_2021_Pt4
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.90172629,-5.564058074,596.4,0.5625,0.6168,0.465,0.5481,Meknès_2021_Pt5
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.95204047,-5.593484241,596.4,0.3636,0.3767,0.3332,0.357833333,Meknès_2021_Pt6
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.89566634,-5.592265925,596.4,0.723,0.6,0.6019,0.641633333,Meknès_2021_Pt7
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.94704728,-5.531848964,596.4,0.7161,0.7543,0.2476,0.572666667,Meknès_2021_Pt8
Fès-Meknès,Meknès,2021,63.1,2505.2,39.7,33.94305646,-5.551149781,596.4,0.3442,0.3644,0.5164,0.408333333,Meknès_2021_Pt9
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.91829552,-5.54610367,475.47,0.7791,0.7613,0.8474,0.795933333,Meknès_2020_Pt0
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.94300399,-5.595077807,475.47,0.5624,0.3348,0.3018,0.399666667,Meknès_2020_Pt1
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.9486257,-5.543019484,475.47,0.938,0.8168,0.1251,0.626633333,Meknès_2020_Pt2
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.94799128,-5.5223428,475.47,0.5946,0.525,0.3935,0.504366667,Meknès_2020_Pt3
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.83868153,-5.574726626,475.47,0.8671,0.581,0.2139,0.554,Meknès_2020_Pt4
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.84345608,-5.495505022,475.47,0.5477,0.3432,0.413,0.434633333,Meknès_2020_Pt5
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.86309624,-5.52334772,475.47,0.4807,0.3984,0.1551,0.344733333,Meknès_2020_Pt6
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.93868632,-5.52107451,475.47,0.7846,0.3967,0.0565,0.4126,Meknès_2020_Pt7
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.88958639,-5.540935071,475.47,0.525,0.429,0.2997,0.4179,Meknès_2020_Pt8
Fès-Meknès,Meknès,2020,60.2,807.5,13.41,33.90388754,-5.550042577,475.47,0.3604,0.3039,0.3185,0.3276,Meknès_2020_Pt9
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.86454187,-5.494669129,553.03,0.723,0.4107,0.4422,0.5253,Meknès_2019_Pt0
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.9420383,-5.566840345,553.03,0.6052,0.6889,0.2532,0.515766667,Meknès_2019_Pt1
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.90644942,-5.502715845,553.03,0.4875,0.3522,0.4247,0.421466667,Meknès_2019_Pt2
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.9466013,-5.500336109,553.03,0.6801,0.513,0.2926,0.495233333,Meknès_2019_Pt3
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.94208528,-5.581710718,553.03,0.5997,0.8041,0.5646,0.656133333,Meknès_2019_Pt4
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.93909594,-5.526802032,553.03,0.5313,0.4668,0.2672,0.421766667,Meknès_2019_Pt5
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.9399376,-5.558830993,553.03,0.7874,0.7378,0.7185,0.7479,Meknès_2019_Pt6
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.88663023,-5.578965321,553.03,0.5014,0.6,0.3357,0.479033333,Meknès_2019_Pt7
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.91399346,-5.518751404,553.03,0.7499,0.4552,0.7283,0.644466667,Meknès_2019_Pt8
Fès-Meknès,Meknès,2019,74.8,1763,23.57,33.93250128,-5.580507905,553.03,0.5191,0.4849,0.3121,0.4387,Meknès_2019_Pt9
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.92603161,-5.575470752,828.68,0.2206,0.3853,0.1667,0.257533333,Meknès_2018_Pt0
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.93240822,-5.555875896,828.68,0.7597,0.8407,0.8007,0.800366667,Meknès_2018_Pt1
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.88588466,-5.593370048,828.68,0.304,0.5275,0.4196,0.417033333,Meknès_2018_Pt2
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.94958658,-5.543245543,828.68,0.6975,0.8964,0.564,0.7193,Meknès_2018_Pt3
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.88123145,-5.550077927,828.68,0.6122,0.7421,0.8257,0.726666667,Meknès_2018_Pt4
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.87150975,-5.555720739,828.68,0.5544,0.6444,0.6381,0.6123,Meknès_2018_Pt5
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.8379812,-5.564859442,828.68,0.3923,0.7213,0.5903,0.567966667,Meknès_2018_Pt6
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.91442076,-5.611573941,828.68,0.4364,0.7556,0.5174,0.5698,Meknès_2018_Pt7
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.86850178,-5.600634868,828.68,0.6011,0.6256,0.5193,0.582,Meknès_2018_Pt8
Fès-Meknès,Meknès,2018,75.1,2504.7,33.35,33.90811503,-5.567989917,828.68,0.5487,0.6877,0.9713,0.7359,Meknès_2018_Pt9
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.93589013,-5.51881991,514.95,0.3534,0.3783,0.1876,0.306433333,Meknès_2017_Pt0
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.91970986,-5.581878779,514.95,0.6906,0.7943,0.5586,0.681166667,Meknès_2017_Pt1
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.9427023,-5.504641476,514.95,0.2,0.7147,0.2138,0.376166667,Meknès_2017_Pt2
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.86492197,-5.495935776,514.95,0.2,0.6501,0.1635,0.337866667,Meknès_2017_Pt3
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.95306557,-5.58618107,514.95,0.6966,0.719,0.1015,0.5057,Meknès_2017_Pt4
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.84364731,-5.531578292,514.95,0.2,0.4357,0.1731,0.2696,Meknès_2017_Pt5
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.89752481,-5.503011151,514.95,0.2,0.303,0.2164,0.2398,Meknès_2017_Pt6
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.83661174,-5.504425566,514.95,0.2,0.7687,0.1572,0.3753,Meknès_2017_Pt7
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.91679291,-5.570667769,514.95,0.4339,0.6497,0.266,0.449866667,Meknès_2017_Pt8
Fès-Meknès,Meknès,2017,75.7,2555.1,33.75,33.86832676,-5.591781638,514.95,0.116,0.3555,0.0721,0.1812,Meknès_2017_Pt9
