Région,Province,Année,Surface (1000 Ha),Production (1000 Qx),Rendement (Qx/Ha),Latitude,Longitude,Pluie_Saisonniere_mm,NDVI_01,NDVI_03,NDVI_05,NDVI_Moyen,Point_ID
L'Oriental,Guercif,2019,4.1,15.6,3.8,34.26661502,-3.354268102,426.72,0.6391,0.6197,0.5048,0.587866667,Guercif_2019_Pt2
L'Oriental,Guercif,2019,4.1,15.6,3.8,34.25664447,-3.311449818,426.72,0.5443,0.4923,0.4027,0.479766667,Guercif_2019_Pt3
L'Oriental,Guercif,2019,4.1,15.6,3.8,34.26593037,-3.307205057,426.72,0.4834,0.6508,0.5166,0.550266667,Guercif_2019_Pt4
L'Oriental,Guercif,2019,4.1,15.6,3.8,34.27026844,-3.327822365,426.72,0.232,0.3372,0.267,0.278733333,Guercif_2019_Pt5
L'Oriental,Guercif,2019,4.1,15.6,3.8,34.2688321,-3.348069583,426.72,0.5059,0.5167,0.3259,0.4495,Guercif_2019_Pt6
L'Oriental,Guercif,2018,36.8,271.1,7.37,34.28419883,-3.304025169,632.92,0.5027,0.5138,0.3834,0.466633333,Guercif_2018_Pt0
L'Oriental,Guercif,2018,36.8,271.1,7.37,34.26261894,-3.309731331,632.92,0.7201,0.3716,0.3288,0.4735,Guercif_2018_Pt1
L'Oriental,Guercif,2018,36.8,271.1,7.37,34.26604503,-3.321810841,632.92,0.2438,0.5045,0.5593,0.435866667,Guercif_2018_Pt2
L'Oriental,Guercif,2018,36.8,271.1,7.37,34.25562731,-3.335753056,632.92,0.6343,0.7422,-0.0299,0.448866667,Guercif_2018_Pt3
L'Oriental,Guercif,2018,36.8,271.1,7.37,34.24853445,-3.342227033,853.8,0.3288,0.3716,-0.0208,0.226533333,Guercif_2018_Pt4
L'Oriental,Guercif,2018,36.8,271.1,7.37,34.23330695,-3.339671383,853.8,0.531,0.5607,0.9612,0.6843,Guercif_2018_Pt5
L'Oriental,Guercif,2018,36.8,271.1,7.37,34.26351166,-3.350146849,632.92,0.4304,0.5292,0.2705,0.410033333,Guercif_2018_Pt6
L'Oriental,Guercif,2018,36.8,271.1,7.37,34.23742254,-3.33347827,853.8,0.4766,0.64,1,0.705533333,Guercif_2018_Pt7
